"Data Source","World Development Indicators",

"Last Updated Date","2017-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35973.780509792","","","","","","",
"Afghanistan","AFG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","875.517610447298","922.829449153001","916.334474798349","1011.59552439759","1065.61966514703","1210.4792652894","1247.06614429099","1482.09883711417","1581.60083598967","1660.73985617959","1873.15394552307","1877.4119527561","1875.44740682017","1864.97364128946","1879.69550862116","",
"Angola","AGO","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2840.20076315583","2811.28712551309","2591.3262764243","1932.80403070552","1978.43803181514","2162.91720334849","2380.13283783075","2541.71249753358","2670.6200295541","2721.1555587273","2781.25814006965","2870.03671445479","2620.88901186581","2715.9434412314","2985.59858539211","3516.40265774144","4222.66303265405","5128.36125339137","5743.11004757119","5718.69440789557","5775.864013056","5911.25433387322","6109.13661230635","6400.6733758948","6594.39782555733","6648.12401629126","6466.6650452309","",
"Albania","ALB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2721.61521196936","1992.07368813749","1902.28638292558","2147.57511154929","2389.94694515136","2781.41398865458","3109.18349826519","2837.35150385485","3208.95777292087","3690.6887286804","4026.53742165438","4463.63298574571","4754.67585643877","5114.78477868487","5524.92166084436","5942.87008309141","6634.77922229419","7289.63236647454","8228.35742830833","8823.80298377688","9646.61572668359","10207.7006744902","10526.248327766","10580.5115044652","11332.5065407381","11449.0945887246","11865.501399627","",
"Andorra","AND","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6773.37611452701","6835.48630806509","7207.70421107652","7409.36681077548","7598.52830660588","7728.89971265522","8044.57823486287","8342.58842703279","8716.83145811987","8867.32337664704","9338.85334079607","9522.89168432441","9522.71555960474","9926.40347092996","10894.0337611969","11608.6352203941","12411.2415030618","13004.7747260284","13702.5015429795","13598.551472906","14088.3836855132","14461.6119998069","15125.5021468832","15564.743742218","15952.6880254879","16348.8624543475","16774.7365610833","",
"United Arab Emirates","ARE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71786.1128335806","70641.7656564284","70495.9605309004","69085.1259883473","71492.9295989226","74045.229872312","75977.3934186682","79612.8677689215","76783.5424698263","76193.7004779163","81818.6205173162","80488.68974057","79388.0109766278","82571.3609937112","85090.2827549","82205.9452673222","81305.3748081055","74698.2743802594","68902.1990517593","59160.0018484339","56415.0740513142","58404.0155885493","60914.8030820498","64713.1312056033","67551.0023953075","70391.2201271925","72540.2058579869","",
"Argentina","ARG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6990.5540452718","8024.5923535332","9061.6455871977","9693.96727918434","10342.4762422745","10129.7777926836","10754.198418916","11688.7464014871","12132.5103928877","11769.1499747988","11810.0613643332","11419.0588662652","10217.2730997834","11217.5719276888","12430.7137249452","13817.7140737884","15227.5124961234","16865.5447595212","17711.4417867571","16618.1208523782","18333.5436985461","19629.3518451916","19579.0064837139","20161.4968324254","19801.2591150925","20379.7798541547","19978.6409713795","",
"Armenia","ARM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2418.86092636919","2227.66945587397","1350.10825140973","1290.47311470913","1422.70977557333","1584.60046971304","1734.65530236428","1843.37854477079","2015.10557483509","2126.91516905879","2318.23807343875","2613.78456721754","3020.45398677045","3531.9686429486","4031.94720413531","4769.48900409301","5607.6458691567","6605.21669618151","7260.96875587368","6323.57833605451","6567.25858179835","7022.10394338388","7649.49140943212","7997.38712848925","8396.7425948463","8744.50148850948","8849.91083677908","",
"American Samoa","ASM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
